acousticness,liveness,speechiness,tempo,key,valence,loudness,instrumentalness,duration_ms,time_signature,danceability,energy,title,popularity
0.686,0.0727,0.148,94.512,8,0.539,-8.159,0.00305,343547,4,0.563,0.641,Sona Rupa Layo Re - Joshila / Soundtrack Version,4
0.592,0.098,0.0371,128.99,4,0.282,-9.759,0.924,475639,4,0.71,0.832,SW9 9SL,36
0.0136,0.317,0.0833,123.999,2,0.522,-8.641,0.0201,293859,4,0.829,0.928,DJ Logic Please Forgive Me,30
0.405,0.0663,0.0367,127.979,5,0.655,-8.934,0.559,305480,4,0.776,0.684,Never Come Back,53
0.0168,0.574,0.0647,122.042,1,0.382,-6.178,0.769,359000,4,0.784,0.893,Joy TV,0
0.839,0.129,0.0392,103.016,11,0.727,-9.664,0.814,507961,4,0.667,0.83,Charlev,0
0.000829,0.123,0.0402,131.993,0,0.193,-9.101,0.859,321000,4,0.692,0.852,Loop132 - Original Mix,12
0.225,0.145,0.0324,92.044,1,0.161,-7.546,0.0822,217667,4,0.583,0.796,New Jade,29
0.959,0.361,0.0968,92.477,6,0.81,-13.74,0.949,381320,4,0.709,0.491,Tsunami,7
0.69,0.361,0.0273,163.372,0,0.159,-12.858,0.252,136562,4,0.305,0.364,Les dunes d'ostende (Original Motion Picture Soundtrack),22
0.164,0.0947,0.0278,130.054,0,0.208,-5.342,0.346,216389,4,0.644,0.672,Forget Me,5
0.0548,0.107,0.0447,110.385,5,0.854,-14.434,0.934,234430,4,0.501,0.786,The Valley of the Ultra Blacks,3
0.323,0.282,0.0386,100.929,2,0.665,-6.456,0.00191,281840,4,0.587,0.927,The Empress And The Ukraine King,0
0.159,0.11,0.0448,86.06,8,0.484,-6.62,0.0227,626816,4,0.766,0.659,La soupeuse,0
0.317,0.106,0.0919,122.35,8,0.495,-11.273,0.709,213133,4,0.498,0.607,Music,13
0.691,0.364,0.0646,100.513,11,0.0829,-11.115,0.000621,157080,4,0.397,0.328,Ultra Marina (1988),6
0.704,0.14,0.0337,106.091,6,0.563,-13.607,0.94,115733,4,0.724,0.463,Detail For Paul,15
0.78,0.121,0.0989,75.879,2,0.306,-17.203,0.128,130000,3,0.312,0.334,See-Through,26
0.0502,0.21,0.179,170.017,10,0.537,-9.274,2e-06,169680,4,0.458,0.602,Home,36
0.465,0.108,0.028,82.905,3,0.754,-7.866,8.68e-06,120133,4,0.578,0.583,Ready Or Not Here I Come (Can't Hide From Love),5
0.0713,0.096,0.198,78.033,5,0.592,-3.696,0.0163,166120,4,0.694,0.796,The Games We Play,59
0.594,0.114,0.0675,158.037,7,0.67,-7.425,0.661,133680,4,0.861,0.647,In My Room,76
0.0354,0.109,0.522,205.865,1,0.548,-9.318,0.00305,188945,4,0.654,0.402,Because,0
0.0224,0.0648,0.0444,125.752,1,0.526,-10.487,0.702,278708,4,0.733,0.687,ʅ͡͡͡͡͡͡͡͡͡͡͡(ƟӨ)ʃ͡͡͡͡͡͡͡͡͡͡ ꐑ(ཀ ඊູ ఠీੂ೧ູ࿃ूੂ✧✧✧✧✧✧ළඕั࿃ूੂ࿃ूੂ,45
0.0339,0.152,0.0398,93.649,11,0.667,-4.031,0,259301,4,0.422,0.851,Easy Rider,50
0.00476,0.243,0.0333,126.493,1,0.412,-6.169,2.89e-06,165907,4,0.402,0.681,Mafatshi Leh,8
0.923,0.0931,0.0328,127.285,11,0.437,-14.425,0.93,712774,4,0.359,0.491,Butterfly Effect,30
0.779,0.131,0.0526,130.016,6,0.465,-6.852,0.0626,177560,4,0.753,0.62,You Owe Me,1
0.345,0.194,0.0389,109.514,10,0.971,-8.141,0.318,313480,4,0.628,0.757,Dissan Na M'bera,0
0.252,0.145,0.0448,130.145,4,0.633,-5.075,0,230080,4,0.752,0.678,Mabelle,0
0.749,0.18,0.0905,118.671,9,0.905,-7.08,1.17e-05,228547,4,0.583,0.719,Baby That's Backatcha,28
0.734,0.0339,0.0325,89.556,7,0.617,-12.541,0.00548,744907,4,0.667,0.462,N' Nafanta,2
0.0201,0.0851,0.0462,116.078,1,0.471,-9.325,0.896,171200,4,0.737,0.818,Flight 2,7
0.0552,0.0629,0.101,118.373,0,0.628,-6.842,0.00181,381040,4,0.786,0.921,Only You,0
0.968,0.126,0.0323,137.848,9,0.113,-13.207,0.857,384439,3,0.299,0.263,Daydreaming,0
0.0891,0.22,0.029,122.015,8,0.628,-7.537,0.972,302900,4,0.622,0.644,Admire,33
0.0394,0.111,0.0582,143.027,7,0.435,-7.395,0.01,179022,4,0.912,0.587,Speed It Up,45
0.0359,0.0886,0.288,95.012,7,0.373,-6.71,0,323303,4,0.823,0.813,30 Hours,61
0.0758,0.0658,0.119,159.651,11,0.315,-7.308,0.882,366115,4,0.649,0.906,Volume 2A,0
0.923,0.108,0.037,105.092,5,0.752,-16.346,0.83,448560,3,0.611,0.338,Afro Blue,24
0.142,0.0466,0.373,83.99,8,0.913,-5.421,0,190800,4,0.799,0.592,Worldwide,25
0.837,0.0786,0.0275,92.338,8,0.255,-20.887,0.0545,259487,4,0.575,0.229,Metal I (Camila),1
0.00209,0.137,0.103,121.263,0,0.608,-9.623,7.55e-05,205664,4,0.687,0.796,Time for a Change,29
1.29e-05,0.0752,0.0543,115.996,8,0.606,-16.264,0.93,178133,4,0.758,0.827,Black Purd's Theme,0
0.226,0.22,0.283,75.938,8,0.58,-11.129,0.192,205125,4,0.645,0.721,A Better Version,5
0.745,0.394,0.0397,109.994,4,0.0599,-14.677,0.937,245250,4,0.61,0.546,Arthur,0
0.592,0.273,0.132,128.359,5,0.626,-4.876,2.46e-06,397587,4,0.516,0.807,Ae Meri Awaz Ke Dosto - Amne Samne / Soundtrack Version,9
0.986,0.112,0.0349,137.347,0,0.0645,-20.872,0.93,143080,1,0.196,0.014,Requiem for CS70 and Strings,41
0.197,0.0845,0.0584,135.018,1,0.138,-11.706,0.894,353680,4,0.711,0.646,Last Bloom,35
0.00822,0.0846,0.0601,115.62,2,0.126,-9.633,0.773,340160,4,0.8,0.586,Little By Little (Caribou Rmx),0
0.293,0.0733,0.0292,150.054,7,0.43,-12.969,0.0209,194947,3,0.336,0.344,The North Wind Blew South,13
0.363,0.339,0.0707,108.377,5,0.6,-13.393,0,293147,4,0.722,0.364,Daddy's Little Girl,0
0.418,0.0667,0.188,126.048,2,0.823,-10.799,0.0749,479630,4,0.576,0.764,Aaj Shanibar,0
0.947,0.09,0.0674,99.344,11,0.058,-25.707,0.892,218040,4,0.236,0.369,"Sequenza bosco - Fuga - Theme From ""Oedipus Orca""",3
0.333,0.0731,0.237,146.705,8,0.731,-12.125,0.0169,315813,4,0.623,0.375,Thiely,0
0.0216,0.0389,0.295,181.835,7,0.744,-7.52,1.69e-05,248133,4,0.712,0.773,Peer Pressure,2
0.1,0.633,0.243,90.712,7,0.612,-6.7,0.00336,258587,4,0.375,0.722,One Beer,0
0.00343,0.311,0.0394,118.032,1,0.613,-5.639,0.0567,315507,4,0.696,0.913,Odessa,0
0.0772,0.113,0.0807,131.959,0,0.459,-7.178,0.84,280000,4,0.737,0.642,Flame,2
0.396,0.0756,0.0584,95.288,5,0.796,-9.943,0.151,259987,4,0.481,0.526,Orientasie,6
0.72,0.28,0.054,101.505,0,0.693,-5.394,0.00135,376600,4,0.764,0.724,Tinariwen,0
0.0146,0.407,0.059,120.022,9,0.73,-6.724,0.149,336673,4,0.726,0.88,Cos-Ber-Zam Ne Noya - Daphni Mix,39
0.0457,0.199,0.0455,111.247,0,0.853,-11.403,0.696,61947,4,0.806,0.547,Buttaflybeat,0
0.688,0.505,0.0813,110.234,8,0.473,-5.072,0.841,510240,3,0.459,0.965,Idyongwana,2
0.307,0.192,0.0347,82.298,4,0.449,-12.961,6.43e-06,255025,4,0.385,0.42,Glowin' (2018 Remaster),1
0.839,0.12,0.0392,176.121,5,0.505,-12.394,0.69,148074,4,0.507,0.421,Om Shanti,0
0.981,0.226,0.482,60.226,8,0.697,-16.262,0.0116,102480,4,0.587,0.196,Traditional (Papua New Guinea),0
0.506,0.114,0.0634,109.999,6,0.32,-10.934,0.909,295772,4,0.795,0.796,Curl,6
0.181,0.0733,0.0597,114.47,2,0.74,-6.528,1.07e-05,225893,4,0.743,0.879,Can We Try Love Again,0
0.715,0.0846,0.0344,111.211,0,0.202,-15.221,0.119,1085800,4,0.354,0.287,Guinnevere,14
